,Players PER,Players name,season
0,33.08,Thanasis Antetokounmpo,2016
1,31.56,Stephen Curry,2016
2,27.77,Boban Marjanovic,2016
3,27.64,LeBron James,2016
4,26.11,Kawhi Leonard,2016
5,25.36,James Harden,2016
6,24.09,Enes Kanter,2016
7,23.67,DeMarcus Cousins,2016
8,22.59,Karl-Anthony Towns,2016
9,22.51,Carl Landry,2016
10,22.25,Damian Lillard,2016
11,22.2,Kyle Lowry,2016
12,21.8,Brook Lopez,2016
13,21.71,Derrick Favors,2016
14,21.58,Nikola Jokic,2016
15,21.35,Cole Aldrich,2016
16,21.33,Jimmy Butler,2016
17,21.15,Nikola Vucevic,2016
18,21.06,Kenneth Faried,2016
19,20.87,Kemba Walker,2016
20,20.42,Dwyane Wade,2016
21,20.29,Chris Bosh,2016
22,20.03,Jarnell Stokes,2016
23,19.96,Kyrie Irving,2016
24,19.74,Jrue Holiday,2016
25,32.11,Rakeem Christmas,2016
26,28.25,Kevin Durant,2016
27,27.64,Russell Westbrook,2016
28,26.31,Chris Paul,2016
29,25.69,Hassan Whiteside,2016
30,25.1,Anthony Davis,2016
31,24.02,Coty Clarke,2016
32,22.63,Jonas Valanciunas,2016
33,22.57,Michael Beasley,2016
34,22.43,LaMarcus Aldridge,2016
35,22.22,Blake Griffin,2016
36,21.87,Greg Monroe,2016
37,21.76,Pau Gasol,2016
38,21.58,DeMar DeRozan,2016
39,21.54,Isaiah Thomas,2016
40,21.33,Paul Millsap,2016
41,21.3,Andre Drummond,2016
42,21.15,Alan Williams,2016
43,20.98,Paul George,2016
44,20.66,DeAndre Jordan,2016
45,20.38,Carmelo Anthony,2016
46,20.1,Eric Bledsoe,2016
47,20.0,JaVale McGee,2016
48,19.83,John Wall,2016
49,19.64,David Lee,2016
50,19.62,Reggie Jackson,2016
51,19.45,Mike Conley,2016
52,19.22,Willie Reed,2016
53,19.09,Dirk Nowitzki,2016
54,19.04,Marcin Gortat,2016
55,18.99,Dwight Howard,2016
56,18.76,Ed Davis,2016
57,18.67,Klay Thompson,2016
58,18.39,Zach Randolph,2016
59,18.36,Brandan Wright,2016
60,18.26,Al Jefferson,2016
61,17.96,Tyreke Evans,2016
62,17.84,James Ennis III,2016
63,17.8,Kristaps Porzingis,2016
64,17.79,CJ McCollum,2016
65,17.76,Lou Williams,2016
66,17.69,Jeff Withey,2016
67,17.66,David West,2016
68,17.61,Cristiano Felicio,2016
69,17.58,Thaddeus Young,2016
70,17.5,Kyle O'Quinn,2016
71,17.38,Brandon Bass,2016
72,17.33,Mario Chalmers,2016
73,17.3,Ryan Anderson,2016
74,17.24,Mason Plumlee,2016
75,19.46,Al Horford,2016
76,19.31,Draymond Green,2016
77,19.17,Jorge Gutierrez,2016
78,19.08,Kevin Love,2016
79,19.04,Danilo Gallinari,2016
80,18.86,Giannis Antetokounmpo,2016
81,18.71,Kevon Looney,2016
82,18.63,John Henson,2016
83,18.37,Gordon Hayward,2016
84,18.3,Clint Capela,2016
85,17.98,Jeff Teague,2016
86,17.9,Manu Ginobili,2016
87,17.82,Delon Wright,2016
88,17.8,Aron Baynes,2016
89,17.77,Festus Ezeli,2016
90,17.74,Marc Gasol,2016
91,17.66,Robin Lopez,2016
92,17.64,Ricky Rubio,2016
93,17.58,JJ Redick,2016
94,17.51,Rudy Gobert,2016
95,17.43,Miles Plumlee,2016
96,17.34,Amar'e Stoudemire,2016
97,17.31,Jordan Adams,2016
98,17.28,Derrick Williams,2016
99,17.18,Marreese Speights,2016
100,17.17,Gorgui Dieng,2016
101,17.08,Dewayne Dedmon,2016
102,16.98,Tim Duncan,2016
103,16.92,Rajon Rondo,2016
104,16.87,Dwight Powell,2016
105,16.86,Nene ,2016
106,16.83,JJ Hickson,2016
107,16.77,Victor Oladipo,2016
108,16.61,Andrew Wiggins,2016
109,16.42,Jordan Hill,2016
110,16.31,Chandler Parsons,2016
111,16.27,Mirza Teletovic,2016
112,16.24,Jon Leuer,2016
113,16.22,Tony Parker,2016
114,16.07,Will Barton,2016
115,16.01,Jusuf Nurkic,2016
116,15.93,Ramon Sessions,2016
117,15.92,Jeremy Lamb,2016
118,15.91,Tristan Thompson,2016
119,15.85,Jae Crowder,2016
120,15.78,TJ Warren,2016
121,15.69,Nicolas Batum,2016
122,15.63,Nikola Mirotic,2016
123,15.62,Sean Kilpatrick,2016
124,15.57,Goran Dragic,2016
125,17.14,Jahlil Okafor,2016
126,17.07,Aaron Gordon,2016
127,16.97,Michael Kidd-Gilchrist,2016
128,16.9,Marvin Williams,2016
129,16.87,Salah Mejri,2016
130,16.85,Khris Middleton,2016
131,16.78,Jared Sullinger,2016
132,16.66,Ian Mahinmi,2016
133,16.47,Christian Wood,2016
134,16.33,Kelly Olynyk,2016
135,16.28,Nerlens Noel,2016
136,16.26,Zaza Pachulia,2016
137,16.23,Tobias Harris,2016
138,16.18,Cody Zeller,2016
139,16.03,Amir Johnson,2016
140,15.99,James Michael McAdoo,2016
141,15.93,Richaun Holmes,2016
142,15.92,Andrew Bogut,2016
143,15.91,Darren Collison,2016
144,15.8,Joffrey Lauvergne,2016
145,15.7,Taj Gibson,2016
146,15.66,Lucas Nogueira,2016
147,15.62,Dennis Schroder,2016
148,15.61,Bradley Beal,2016
149,15.54,Steven Adams,2016
150,15.52,J.J. Barea,2016
151,15.51,Myles Turner,2016
152,15.35,Jordan Mickey,2016
153,15.31,Willie Cauley-Stein,2016
154,15.15,Kosta Koufos,2016
155,14.97,Troy Daniels,2016
156,14.94,Kobe Bryant,2016
157,14.85,Andrew Nicholson,2016
158,14.83,Jabari Parker,2016
159,14.75,Brandon Knight,2016
160,14.74,Tyson Chandler,2016
161,14.71,Quincy Acy,2016
162,14.69,Patty Mills,2016
163,14.68,Deron Williams,2016
164,14.63,Montrezl Harrell,2016
165,14.52,T.J. McConnell,2016
166,14.49,Jarrett Jack,2016
167,14.42,Steve Novak,2016
168,14.38,Alec Burks,2016
169,14.34,Jordan Clarkson,2016
170,14.26,Ersan Ilyasova,2016
171,14.2,Jason Thompson,2016
172,14.12,Matt Bonner,2016
173,14.08,Joakim Noah,2016
174,14.06,Mike Scott,2016
175,15.51,Rudy Gay,2016
176,15.42,Tyler Zeller,2016
177,15.32,Chris Andersen,2016
178,15.26,Shabazz Muhammad,2016
179,15.02,Luol Deng,2016
180,14.97,Ish Smith,2016
181,14.91,Bismack Biyombo,2016
182,14.84,Alex Stepheson,2016
183,14.81,Marcus Thornton,2016
184,14.74,Toney Douglas,2016
185,14.72,Jason Smith,2016
186,14.71,Evan Fournier,2016
187,14.68,JaMychal Green,2016
188,14.63,Timofey Mozgov,2016
189,14.54,Thomas Robinson,2016
190,14.51,Otto Porter Jr.,2016
191,14.48,Edy Tavares,2016
192,14.4,Trevor Booker,2016
193,14.34,Zach LaVine,2016
194,14.27,Jordan McRae,2016
195,14.23,Rondae Hollis-Jefferson,2016
196,14.17,Rodney Hood,2016
197,14.11,Joel Anthony,2016
198,14.08,CJ Miles,2016
199,14.06,Jarell Martin,2016
200,14.06,Trey Burke,2016
201,14.0,Boris Diaw,2016
202,13.98,Michael Carter-Williams,2016
203,13.98,Donald Sloan,2016
204,13.94,D.J. Augustin,2016
205,13.91,Henry Sims,2016
206,13.9,Brian Roberts,2016
207,13.9,Seth Curry,2016
208,13.89,Shaun Livingston,2016
209,13.8,Tyler Johnson,2016
210,13.79,Monta Ellis,2016
211,13.68,Mike Muscala,2016
212,13.65,Evan Turner,2016
213,13.59,Gary Neal,2016
214,13.56,Terrence Jones,2016
215,13.52,Derrick Rose,2016
216,13.47,Rasual Butler,2016
217,13.42,Kent Bazemore,2016
218,13.37,Maurice Harkless,2016
219,13.36,Shane Larkin,2016
220,13.24,Robert Covington,2016
221,13.22,George Hill,2016
222,13.17,Devin Harris,2016
223,13.07,Patrick Beverley,2016
224,12.99,Channing Frye,2016
225,14.04,Jamal Crawford,2016
226,13.99,Serge Ibaka,2016
227,13.98,Elfrid Payton,2016
228,13.96,Omri Casspi,2016
229,13.92,Julius Randle,2016
230,13.9,Tim Frazier,2016
231,13.9,Alexis Ajinca,2016
232,13.9,Bobby Portis,2016
233,13.8,Jeremy Lin,2016
234,13.79,Tiago Splitter,2016
235,13.75,Brandon Jennings,2016
236,13.67,Luis Scola,2016
237,13.64,Shelvin Mack,2016
238,13.57,Jodie Meeks,2016
239,13.54,Lance Stephenson,2016
240,13.52,Eric Gordon,2016
241,13.42,Andre Miller,2016
242,13.39,Larry Nance Jr.,2016
243,13.36,Norman Powell,2016
244,13.25,Avery Bradley,2016
245,13.22,D'Angelo Russell,2016
246,13.21,Jordan Farmar,2016
247,13.12,Kris Humphries,2016
248,13.04,Jeff Green,2016
249,12.99,Kyle Anderson,2016
250,12.97,Gerald Henderson,2016
251,12.95,Cameron Payne,2016
252,12.94,Tony Allen,2016
253,12.8,Cory Jefferson,2016
254,12.77,Marcus Morris,2016
255,12.75,Vince Carter,2016
256,12.65,Rodney Stuckey,2016
257,12.58,Sasha Kaun,2016
258,12.51,Frank Kaminsky,2016
259,12.49,Alex Len,2016
260,12.47,Erick Green,2016
261,12.43,Cory Joseph,2016
262,12.43,Jerryd Bayless,2016
263,12.41,Andrew Goudelock,2016
264,12.4,Lavoy Allen,2016
265,12.34,Justin Anderson,2016
266,12.32,Harrison Barnes,2016
267,12.31,Ryan Hollins,2016
268,12.26,Allen Crabbe,2016
269,12.25,Andre Iguodala,2016
270,12.2,Chris McCullough,2016
271,12.03,Reggie Bullock,2016
272,12.01,Charlie Villanueva,2016
273,11.98,Jonathon Simmons,2016
274,11.93,Raymond Felton,2016
275,12.97,Trevor Ariza,2016
276,12.95,Terrence Ross,2016
277,12.91,CJ Wilcox,2016
278,12.78,Gary Harris,2016
279,12.76,Al-Farouq Aminu,2016
280,12.68,Jerami Grant,2016
281,12.64,Jeremy Evans,2016
282,12.55,Darrell Arthur,2016
283,12.5,Mo Williams,2016
284,12.49,Tyler Hansbrough,2016
285,12.45,Jordan Hamilton,2016
286,12.43,JR Smith,2016
287,12.41,Spencer Hawes,2016
288,12.41,Kentavious Caldwell-Pope,2016
289,12.4,Thabo Sefolosha,2016
290,12.33,Jose Calderon,2016
291,12.31,Tarik Black,2016
292,12.28,Kevin Garnett,2016
293,12.25,Markieff Morris,2016
294,12.23,Solomon Hill,2016
295,12.06,Jimmer Fredette,2016
296,12.01,Joe Johnson,2016
297,12.0,Devin Booker,2016
298,11.94,DeMarre Carroll,2016
299,11.89,Andrea Bargnani,2016
300,11.87,Aaron Brooks,2016
301,11.71,Tim Hardaway Jr.,2016
302,11.7,Trey Lyles,2016
303,11.69,Langston Galloway,2016
304,11.61,James Jones,2016
305,11.57,Ian Clark,2016
306,11.52,Kevin Martin,2016
307,11.43,E'Twaun Moore,2016
308,11.41,James Johnson,2016
309,11.36,Meyers Leonard,2016
310,11.34,Donatas Motiejunas,2016
311,11.31,Matthew Dellavedova,2016
312,11.28,Tyus Jones,2016
313,11.23,Nemanja Bjelica,2016
314,11.16,Anderson Varejao,2016
315,11.16,Archie Goodwin,2016
316,11.1,Isaiah Canaan,2016
317,11.07,Jarell Eddie,2016
318,11.02,Omer Asik,2016
319,10.98,Arron Afflalo,2016
320,10.85,PJ Tucker,2016
321,10.84,Kevin Seraphin,2016
322,10.76,Sam Dekker,2016
323,10.73,Chase Budinger,2016
324,10.7,Tyler Ennis,2016
325,11.81,Leandro Barbosa,2016
326,11.71,Matt Barnes,2016
327,11.69,Jared Dudley,2016
328,11.69,Cliff Alexander,2016
329,11.6,Luke Babbitt,2016
330,11.55,Courtney Lee,2016
331,11.48,Josh Richardson,2016
332,11.41,Elton Brand,2016
333,11.39,Glenn Robinson III,2016
334,11.34,Marcus Smart,2016
335,11.33,Caron Butler,2016
336,11.31,Markel Brown,2016
337,11.24,Roy Hibbert,2016
338,11.2,Jerian Grant,2016
339,11.16,Chris Kaman,2016
340,11.15,Austin Rivers,2016
341,11.1,Sasha Vujacic,2016
342,11.05,Wesley Johnson,2016
343,10.99,Doug McDermott,2016
344,10.91,Wesley Matthews,2016
345,10.85,Norris Cole,2016
346,10.79,Bojan Bogdanovic,2016
347,10.74,Anthony Morrow,2016
348,10.72,Darrun Hilliard,2016
349,10.67,KJ McDaniels,2016
350,10.62,Josh Smith,2016
351,10.59,Phil Pressey,2016
352,10.49,Russ Smith,2016
353,10.43,Anthony Bennett,2016
354,10.38,Marcelo Huertas,2016
355,10.37,Ryan Kelly,2016
356,10.32,Jonas Jerebko,2016
357,10.26,Anthony Tolliver,2016
358,10.22,Jason Terry,2016
359,10.19,Wayne Ellington,2016
360,10.12,Brandon Rush,2016
361,9.97,Josh McRoberts,2016
362,9.96,Emmanuel Mudiay,2016
363,9.91,Xavier Munford,2016
364,9.78,Kyle Korver,2016
365,9.72,Ty Lawson,2016
366,9.62,Shabazz Napier,2016
367,9.54,Beno Udrih,2016
368,9.49,Marco Belinelli,2016
369,9.43,Justin Holiday,2016
370,9.29,Garrett Temple,2016
371,9.22,Nik Stauskas,2016
372,9.14,Ray McCallum,2016
373,9.12,Udonis Haslem,2016
374,8.92,Briante Weber,2016
375,10.61,Patrick Patterson,2016
376,10.49,Danny Green,2016
377,10.45,Lance Thomas,2016
378,10.39,Robert Sacre,2016
379,10.38,Joe Ingles,2016
380,10.36,Dahntay Jones,2016
381,10.28,Raul Neto,2016
382,10.23,Andre Roberson,2016
383,10.22,Pablo Prigioni,2016
384,10.15,Gerald Green,2016
385,10.04,John Jenkins,2016
386,9.97,Corey Brewer,2016
387,9.94,Joe Young,2016
388,9.81,Steve Blake,2016
389,9.73,Richard Jefferson,2016
390,9.64,Bryce Dejean-Jones,2016
391,9.62,Ronnie Price,2016
392,9.53,Jameer Nelson,2016
393,9.49,Mario Hezonja,2016
394,9.39,Dion Waiters,2016
395,9.24,Hollis Thompson,2016
396,9.19,Alan Anderson,2016
397,9.13,Nick Young,2016
398,9.09,Mike Dunleavy,2016
399,8.89,Spencer Dinwiddie,2016
400,8.73,Stanley Johnson,2016
401,8.63,Dante Cunningham,2016
402,8.59,C.J. Watson,2016
403,8.48,Iman Shumpert,2016
404,8.42,Justise Winslow,2016
405,8.33,Metta World Peace,2016
406,8.29,Paul Pierce,2016
407,8.2,Chris Johnson,2016
408,7.75,Nick Collison,2016
409,7.73,O.J. Mayo,2016
410,7.58,Drew Gooden,2016
411,7.48,Shayne Whittington,2016
412,7.46,Johnny O'Bryant III,2016
413,7.28,Luc Mbah a Moute,2016
414,7.16,Axel Toupane,2016
415,6.98,Justin Harper,2016
416,6.89,Cameron Bairstow,2016
417,6.71,Damien Inglis,2016
418,6.68,Josh Huestis,2016
419,6.52,Nikola Pekovic,2016
420,6.48,Elijah Millsap,2016
421,6.37,Tayshaun Prince,2016
422,6.05,Kendrick Perkins,2016
423,6.02,James Anderson,2016
424,5.68,Adreian Payne,2016
425,8.67,Ben McLemore,2016
426,8.63,Noah Vonleh,2016
427,8.57,Sergey Karasev,2016
428,8.45,Alonzo Gee,2016
429,8.34,JaKarr Sampson,2016
430,8.33,Jeff Ayres,2016
431,8.25,Kelly Oubre Jr.,2016
432,7.94,Greg Smith,2016
433,7.74,R.J. Hunter,2016
434,7.6,Randy Foye,2016
435,7.49,Mitch McGary,2016
436,7.47,Greivis Vasquez,2016
437,7.41,Eric Moreland,2016
438,7.2,Kirk Hinrich,2016
439,7.08,Branden Dawson,2016
440,6.93,P.J. Hairston,2016
441,6.77,Kendall Marshall,2016
442,6.7,Lou Amundson,2016
443,6.68,Kyle Singler,2016
444,6.49,Mike Miller,2016
445,6.47,Tony Snell,2016
446,6.08,Nazr Mohammed,2016
447,6.04,Kostas Papanikolaou,2016
448,5.95,Jared Cunningham,2016
449,5.54,Damjan Rudez,2016
450,5.47,Chris Copeland,2016
451,5.26,Devyn Marble,2016
452,5.05,Terry Rozier,2016
453,4.65,Pat Connaughton,2016
454,4.3,Aaron Harrison,2016
455,4.18,Duje Dukan,2016
456,3.62,James Young,2016
457,3.55,Tibor Pleiss,2016
458,3.27,Elliot Williams,2016
459,2.19,Cleanthony Early,2016
460,1.73,Bryce Cotton,2016
461,1.34,J.J. O'Brien,2016
462,-4.81,Keith Appling,2016
463,5.45,DeJuan Blair,2016
464,5.1,Lamar Patterson,2016
465,4.95,Anthony Brown,2016
466,4.48,Lorenzo Brown,2016
467,4.25,Rashad Vaughn,2016
468,3.76,Sonny Weems,2016
469,3.59,Orlando Johnson,2016
470,3.41,Joe Harris,2016
471,2.62,Nate Robinson,2016
472,1.87,Tony Wroten,2016
473,1.65,Chuck Hayes,2016
474,-2.7,Luis Montero,2016
475,-7.7,Bruno Caboclo,2016
